tem,Month,Year,rain,forest_area
23.2019,11,2004,6.17463,14.7
20.5304,12,2004,6.5125,14.7
18.7742,1,2005,13.6412,14.6
22.0334,2,2005,6.00206,14.6
25.8596,3,2005,73.5596,14.6
27.9591,4,2005,146.875,14.6
28.0449,5,2005,257.578,14.6
29.1435,6,2005,263.16,14.6
28.2297,7,2005,409.154,14.6
28.597,8,2005,220.255,14.6
28.3883,9,2005,282.964,14.6
26.9262,10,2005,236.316,14.6
23.3981,11,2005,5.77824,14.6
20.1779,12,2005,2.564,14.6
19.4921,1,2006,0.00249,14.6
23.6292,2,2006,6.08321,14.6
26.212,3,2006,7.92641,14.6
27.6793,4,2006,341.871,14.6
28.4904,5,2006,199.635,14.6
28.458,6,2006,274.958,14.6
28.6736,7,2006,428.041,14.6
28.6002,8,2006,320.256,14.6
28.5336,9,2006,361.797,14.6
27.4515,10,2006,112.708,14.6
23.9783,11,2006,24.2999,14.6
20.7727,12,2006,2.98989,14.6
19.093,1,2007,1.04976,14.6
20.5513,2,2007,46.5265,14.6
25.1484,3,2007,15.9467,14.6
28.0036,4,2007,312.651,14.6
28.793,5,2007,180.555,14.6
28.5409,6,2007,481.578,14.6
28.1274,7,2007,496.747,14.6
28.8106,8,2007,898.072,14.6
28.3902,9,2007,396.955,14.6
27.8778,10,2007,229.974,14.6
24.1285,11,2007,39.532,14.6
20.1536,12,2007,0.10678,14.6
19.1005,1,2008,22.6256,14.6
19.783,2,2008,12.5362,14.6
25.6679,3,2008,38.8424,14.6
28.4216,4,2008,101.169,14.6
28.5943,5,2008,206.353,14.6
27.8427,6,2008,477.063,14.6
28.0989,7,2008,588.575,14.6
28.1792,8,2008,311.883,14.6
28.5522,9,2008,235.861,14.6
27.0175,10,2008,160.93,14.6
23.7862,11,2008,6.53971,14.6
21.0141,12,2008,2.27446,14.6
20.3262,1,2009,0.65574,14.5
22.7193,2,2009,16.0921,14.5
25.9696,3,2009,26.2234,14.5
29.1815,4,2009,199.444,14.5
28.5577,5,2009,209.835,14.5
29.1754,6,2009,224.577,14.5
28.8393,7,2009,558.314,14.5
28.5917,8,2009,317.717,14.5
28.964,9,2009,298.646,14.5
27.6979,10,2009,171.9,14.5
24.4304,11,2009,49.8057,14.5
20.2116,12,2009,3.71126,14.5
18.6795,1,2010,0.02014,14.5
21.7631,2,2010,4.31731,14.5
27.0261,3,2010,98.9955,14.5
29.1543,4,2010,283.174,14.5
28.8466,5,2010,274.778,14.5
28.723,6,2010,451.158,14.5
28.7615,7,2010,358.158,14.5
28.9236,8,2010,293.918,14.5
28.6092,9,2010,349.922,14.5
27.9208,10,2010,207.224,14.5
25.1333,11,2010,8.98786,14.5
19.8122,12,2010,17.4939,14.5
18.0523,1,2011,4.69858,14.5
21.2404,2,2011,20.0933,14.5
25.5009,3,2011,23.1504,14.5
27.67,4,2011,89.8199,14.5
28.2986,5,2011,258.967,14.5
28.5389,6,2011,626.279,14.5
28.2877,7,2011,414.579,14.5
28.0651,8,2011,1012.02,14.5
28.4788,9,2011,275.258,14.5
27.474,10,2011,52.3823,14.5
23.5306,11,2011,19.8951,14.5
20.4366,12,2011,0.95423,14.5
16.8493,1,2012,17.7638,14.5
20.0185,2,2012,2.89884,14.5
25.6603,3,2012,49.1879,14.5
26.6947,4,2012,204.675,14.5
28.7705,5,2012,237.962,14.5
28.5034,6,2012,283.547,14.5
28.0643,7,2012,494.22,14.5
28.4723,8,2012,388.252,14.5
27.879,9,2012,245.315,14.5
26.1542,10,2012,166.98,14.5
23.0322,11,2012,21.3492,14.5
19.6466,12,2012,16.9888,14.5
17.7546,1,2013,1.14107,11
20.6546,2,2013,11.6018,11
25.3696,3,2013,9.01275,11
27.366,4,2013,115.73,11
27.2544,5,2013,307.156,11
28.894,6,2013,357.403,11
28.3869,7,2013,473.361,11
27.8884,8,2013,395.807,11
28.0005,9,2013,234.519,11
26.4168,10,2013,254.758,11
22.1847,11,2013,0.00089,11
18.5529,12,2013,0.57815,11
17.1088,1,2014,0.1202,11
19.2051,2,2014,32.3783,11
24.4777,3,2014,11.8894,11
28.5882,4,2014,53.5327,11
28.7169,5,2014,179.551,11
28.2088,6,2014,372.435,11
28.5261,7,2014,403.483,11
27.9512,8,2014,481.268,11
27.9355,9,2014,330.746,11
26.6371,10,2014,57.4383,11
22.6934,11,2014,0.22844,11
18.3739,12,2014,0.30376,11
17.8343,1,2015,8.75886,11
20.3632,2,2015,24.1695,11
24.6581,3,2015,21.2529,11
26.3966,4,2015,198.791,11
28.3603,5,2015,167.221,11
28.2169,6,2015,450.405,11
27.8557,7,2015,715.223,11
28.0642,8,2015,512.127,11
28.123,9,2015,353.869,11
26.8624,10,2015,81.5994,11
23.1842,11,2015,4.60815,11
18.7124,12,2015,5.97798,11
17.83483871,1,2016,7.336310769,11
22.40862069,2,2016,15.03498205,11
26.77322581,3,2016,43.6432441,11
27.56633333,4,2016,103.8363908,11
27.95225806,5,2016,235.2907805,11
28.40166667,6,2016,318.1608764,11
28.23709677,7,2016,492.8279933,11
28.57387097,8,2016,399.8895974,11
27.785,9,2016,350.3153092,11
26.87774194,10,2016,219.9941272,11
22.73366667,11,2016,96.75129897,11
20.06709677,12,2016,5.324735385,11
18.44193548,1,2017,4.938625641,11
21.34428571,2,2017,7.273871795,11
23.56709677,3,2017,63.13590974,11
26.34266667,4,2017,155.1185692,11
28.31677419,5,2017,272.1865513,11
28.195,6,2017,422.5002903,11
28.31548387,7,2017,582.5574785,11
28.42483871,8,2017,601.4947605,11
28.09966667,9,2017,385.7137892,11
26.4183871,10,2017,353.6878185,11
22.617,11,2017,154.0852415,11
19.87064516,12,2017,25.4336441,11
15.92516129,1,2018,7.66066,14.47
20.2325,2,2018,12.38131487,14.47
24.84580645,3,2018,24.04337538,14.47
26.59866667,4,2018,128.0920277,14.47
27.35129032,5,2018,265.839779,14.47
28.36333333,6,2018,374.8318718,14.47
28.95709677,7,2018,384.9185349,14.47
28.76580645,8,2018,383.4374933,14.47
28.10733333,9,2018,241.4163585,14.47
25.3,10,2018,130.1385277,14.47
21.54933333,11,2018,29.99348462,14.47
18.19806452,12,2018,8.605092821,14.47
17.83806452,1,2019,6.183647179,14.47
20.5975,2,2019,19.34440462,14.47
24.24290323,3,2019,48.39384769,14.47
27.63233333,4,2019,176.6482282,14.47
28.55032258,5,2019,203.7184164,14.47
28.82266667,6,2019,295.2398169,14.47
28.51967742,7,2019,576.6793236,14.47
28.99580645,8,2019,458.8436333,14.47
28.02333333,9,2019,313.2523944,14.47
26.07741935,10,2019,212.4899369,14.47
22.799,11,2019,87.72067949,14.47
17.79290323,12,2019,7.071553333,14.47
16.56096774,1,2020,23.14484615,14.47
18.84965517,2,2020,12.15694154,14.47
24.55709677,3,2020,29.13098103,14.47
27.41266667,4,2020,95.93577179,14.47
27.98741935,5,2020,251.9694026,14.47
28.03466667,6,2020,423.5050123,14.47
28.39,7,2020,454.5180128,14.47
28.50870968,8,2020,400.6286646,14.47
28.28266667,9,2020,368.9304974,14.47
27.60580645,10,2020,306.9738928,14.47
22.96566667,11,2020,119.1806113,14.47
17.90967742,12,2020,8.097425641,14.47
17.17032258,1,2021,4.931574359,14.47
20.16,2,2021,6.809094872,14.47
25.93741935,3,2021,20.8965959,14.47
28.20333333,4,2021,39.38604821,14.47
28.14225806,5,2021,186.0316862,14.47
28.03,6,2021,432.2483667,14.47
28.60774194,7,2021,414.5549221,14.47
28.20225806,8,2021,469.0759138,14.47
28.23666667,9,2021,336.5119544,14.47
26.67870968,10,2021,252.3137051,14.47
21.25333333,11,2021,71.93205744,14.47
18.85451613,12,2021,29.21446051,14.47
17.2616129,1,2022,10.74073385,13.02
18.04785714,2,2022,27.99829179,13.02
25.85096774,3,2022,23.93084821,13.02
28.13133333,4,2022,59.57292051,13.02
28.11935484,5,2022,191.4402395,13.02
27.546,6,2022,397.1144554,13.02
28.72032258,7,2022,270.4946974,13.02
28.85903226,8,2022,296.7719287,13.02
27.84533333,9,2022,318.4332221,13.02
26.13451613,10,2022,265.7413513,13.02
22.46566667,11,2022,120.2300267,13.02
20.12516129,12,2022,5.163592308,13.02
18.63354839,1,2023,5.678512821,11.1
22.14071429,2,2023,6.811322564,11.1
24.52,3,2023,58.79757846,11.1
28.315,4,2023,76.42027692,11.1
28.72950147,5,2023,124.2021062,11.1
28.58639394,6,2023,299.9151662,11.1
28.53308895,7,2023,353.3990328,11.1
28.45192571,8,2023,421.0587144,11.1
27.73721212,9,2023,306.0909246,11.1
26.01552297,10,2023,320.7790731,11.1
